FID_RAIL_D;F_CODE_DES;EXS_DESCRI;FCO_DESCRI;FID_COUNTR;ISO;ISOCOUNTRY
22404;Railroad;Operational;Single;163;NLD;NETHERLANDS
22407;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
22482;Railroad;Operational;Single;163;NLD;NETHERLANDS
22549;Railroad;Operational;Single;163;NLD;NETHERLANDS
22550;Railroad;Operational;Single;163;NLD;NETHERLANDS
22745;Railroad;Operational;Single;163;NLD;NETHERLANDS
22845;Railroad;Operational;Single;163;NLD;NETHERLANDS
22947;Railroad;Operational;Single;163;NLD;NETHERLANDS
23023;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23063;Railroad;Operational;Single;163;NLD;NETHERLANDS
23103;Railroad;Operational;Single;163;NLD;NETHERLANDS
23125;Railroad;Operational;Single;163;NLD;NETHERLANDS
23130;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23131;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23134;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
23174;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23194;Railroad;Operational;Single;163;NLD;NETHERLANDS
23202;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23227;Railroad;Operational;Single;163;NLD;NETHERLANDS
23231;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23245;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23249;Railroad;Operational;Single;163;NLD;NETHERLANDS
23263;Railroad;Operational;Single;163;NLD;NETHERLANDS
23348;Railroad;Operational;Single;163;NLD;NETHERLANDS
23363;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
23396;Railroad;Operational;Single;163;NLD;NETHERLANDS
23432;Railroad;Operational;Single;163;NLD;NETHERLANDS
23493;Railroad;Operational;Single;163;NLD;NETHERLANDS
23832;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
24126;Railroad;Operational;Single;163;NLD;NETHERLANDS
24133;Railroad;Operational;Single;163;NLD;NETHERLANDS
24535;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
24613;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
24747;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
24965;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
25838;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
25874;Railroad;Operational;Single;163;NLD;NETHERLANDS
25965;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
26018;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26024;Railroad;Operational;Single;163;NLD;NETHERLANDS
26074;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26118;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26127;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26129;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26176;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26205;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26206;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26216;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26326;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
26364;Railroad;Operational;Single;163;NLD;NETHERLANDS
26371;Railroad;Operational;Single;163;NLD;NETHERLANDS
26681;Railroad;Operational;Single;163;NLD;NETHERLANDS
26744;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27009;Railroad;Operational;Single;163;NLD;NETHERLANDS
27077;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
27079;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27115;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27133;Railroad;Operational;Single;163;NLD;NETHERLANDS
27146;Railroad;Operational;Single;163;NLD;NETHERLANDS
27164;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27168;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27169;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27171;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27196;Railroad;Operational;Single;163;NLD;NETHERLANDS
27264;Railroad;Operational;Single;163;NLD;NETHERLANDS
27273;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
27283;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27318;Railroad;Operational;Single;163;NLD;NETHERLANDS
27330;Railroad;Operational;Single;163;NLD;NETHERLANDS
27367;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27406;Railroad;Operational;Single;163;NLD;NETHERLANDS
27507;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27508;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27624;Railroad;Operational;Single;163;NLD;NETHERLANDS
27758;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27811;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27847;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27857;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27871;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27888;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
27891;Railroad;Operational;Multiple;163;NLD;NETHERLANDS
27894;Railroad;Unexamined/Unsurveyed;Unknown;163;NLD;NETHERLANDS
